id,degree,blk,testatus
812,3,0,s
813,4,0,s
814,4,0,s
815,3,1,s
816,4,0,i
817,6,0,s
818,8,0,i
819,4,0,s
820,3,1,s
821,5,1,s
822,6,1,s
823,5,0,s
824,5,1,s
825,4,0,s
826,6,0,s
827,5,0,i
828,2,1,s
829,6,1,s
830,4,1,s
831,6,1,i
832,5,0,s
833,2,0,s
834,5,1,s
835,5,0,s
836,4,0,s
837,5,1,s
838,4,0,s
839,5,0,s
840,2,1,s
841,1,1,s
842,1,1,s
843,9,0,s
844,2,1,s
845,6,1,s
846,8,1,s
847,2,0,s
848,2,0,s
849,5,0,s
850,8,0,s
851,6,0,s
852,7,1,s
853,6,0,s
854,5,0,s
855,2,0,s
856,4,0,s
857,2,1,s
858,0,1,s
859,4,1,s
860,6,1,s
861,3,0,s
862,6,0,i
863,4,0,s
864,3,0,s
865,6,0,s
866,3,1,s
867,4,1,s
868,5,0,s
869,8,0,s
870,4,1,s
871,1,0,s
872,5,1,s
873,2,1,s
874,5,0,s
875,3,0,s
876,8,1,s
877,2,1,s
878,0,1,s
879,4,1,s
880,8,1,s
881,4,0,s
882,5,1,s
883,5,1,s
884,4,0,s
885,8,1,s
886,2,0,s
887,3,1,s
888,8,0,s
889,4,1,s
890,4,1,s
891,8,1,s
892,1,0,s
893,0,1,s
894,4,1,s
895,5,1,s
896,3,0,s
897,11,0,s
898,4,1,s
899,7,1,s
900,3,0,s
901,5,1,i
902,3,1,s
903,1,0,s
904,5,0,s
905,3,1,s
906,4,0,s
907,3,0,s
908,3,1,s
909,6,1,s
910,6,1,s
911,6,1,s
912,6,0,s
913,8,1,s
914,8,0,s
915,6,1,s
916,8,0,s
917,7,0,s
918,4,0,s
919,4,0,s
920,8,0,i
921,3,0,s
922,4,0,s
923,5,0,s
924,6,1,s
925,5,0,s
926,3,1,s
927,3,0,s
928,4,0,s
929,2,1,s
930,4,1,s
931,3,0,s
932,5,1,s
933,5,1,s
934,5,0,s
935,3,0,s
936,4,0,s
937,5,0,s
938,2,1,s
939,1,0,s
940,8,1,s
941,5,0,s
942,5,1,s
943,2,1,s
944,6,1,s
945,8,1,i
946,9,1,i
947,1,0,s
948,4,1,s
949,4,0,s
950,6,1,s
951,5,0,s
952,3,0,s
953,4,1,s
954,1,0,s
955,3,0,s
956,3,0,s
957,3,0,s
958,0,0,s
959,3,1,s
960,6,0,s
961,5,1,s
962,1,0,s
963,4,0,s
964,3,0,i
965,4,0,s
966,4,1,s
967,7,1,s
968,1,0,s
969,3,0,s
970,2,0,s
971,5,0,s
972,8,0,s
973,4,0,s
974,7,0,s
975,5,1,s
976,6,1,s
977,5,0,s
978,6,0,s
979,6,1,s
980,4,0,s
981,9,0,i
982,3,0,s
983,2,1,s
984,5,1,s
985,2,1,s
986,9,0,s
987,6,0,s
988,4,0,s
989,4,0,s
990,10,1,s
991,6,1,s
992,5,0,s
993,4,1,s
994,6,1,s
995,8,0,s
996,3,1,s
997,1,0,s
998,5,1,s
999,1,0,s
1000,5,0,s
1001,7,0,s
1002,2,0,s
1003,2,0,s
1004,6,1,s
1005,8,1,s
1006,6,1,i
1007,5,0,s
1008,7,0,s
1009,1,0,s
1010,2,0,s
1011,2,1,s
1012,4,1,s
1013,3,0,s
1014,7,0,i
1015,6,1,s
1016,8,0,s
1017,3,1,s
1018,2,1,s
1019,4,1,s
1020,1,0,s
1021,8,0,s
1022,3,0,s
1023,5,0,s
1024,1,1,s
1025,3,1,s
1026,4,1,s
1027,3,0,s
1028,2,1,s
1029,3,0,s
1030,2,0,s
1031,11,1,s
1032,6,1,s
1033,5,0,s
1034,6,0,s
1035,4,1,s
1036,2,1,s
1037,5,1,s
1038,3,1,s
1039,2,1,s
1040,2,1,s
1041,4,1,s
1042,5,1,s
1043,6,1,s
1044,5,1,s
1045,2,0,s
1046,6,1,s
1047,3,0,s
1048,7,0,s
1049,3,1,s
1050,7,0,s
1051,3,0,s
1052,4,0,s
1053,3,1,s
1054,3,1,i
1055,6,0,s
1056,5,0,s
1057,3,0,s
1058,2,0,s
1059,4,0,s
1060,4,0,s
1061,2,0,s
1062,7,0,s
1063,4,1,s
1064,3,0,s
1065,5,1,s
1066,7,0,s
1067,4,1,s
1068,4,1,s
1069,5,0,s
1070,5,1,i
1071,7,1,s
1072,3,0,s
1073,1,0,s
1074,6,0,i
1075,5,1,s
1076,5,1,s
1077,7,1,s
1078,1,1,s
1079,3,0,s
1080,4,1,s
1081,2,1,i
1082,4,0,s
1083,5,1,s
1084,2,0,s
1085,4,1,s
1086,4,0,s
1087,4,0,s
1088,4,0,s
1089,8,1,s
1090,2,0,s
1091,3,0,s
1092,7,0,s
1093,5,0,s
1094,6,0,s
1095,3,0,s
1096,1,0,s
1097,3,0,s
1098,7,0,s
1099,5,1,s
1100,2,1,s
1101,4,1,s
1102,2,1,s
1103,1,1,s
1104,5,0,i
1105,6,1,i
1106,4,1,s
1107,5,1,s
1108,5,0,s
1109,4,0,s
1110,3,1,s
1111,12,1,s
1112,12,0,i
1113,2,0,s
1114,2,1,s
1115,5,1,s
1116,4,1,s
1117,6,1,s
1118,4,0,s
1119,3,0,s
1120,8,0,s
1121,4,1,s
1122,5,1,s
1123,4,1,s
1124,4,1,i
1125,4,1,s
1126,10,0,s
1127,5,1,s
1128,2,1,s
1129,6,1,s
1130,5,1,s
1131,2,0,s
1132,6,0,s
1133,3,0,s
1134,7,1,s
1135,4,0,s
1136,4,1,s
1137,4,1,s
1138,7,1,s
1139,3,0,s
1140,2,1,s
1141,5,1,s
1142,3,1,s
1143,8,1,s
1144,6,1,s
1145,6,1,s
1146,5,0,s
1147,3,0,i
1148,6,0,s
1149,8,1,s
1150,2,1,s
1151,2,0,s
1152,3,0,s
1153,2,1,s
1154,3,0,s
1155,2,0,s
1156,3,0,s
1157,3,0,s
1158,3,1,s
1159,4,1,s
1160,7,0,s
1161,2,0,s
1162,5,0,s
1163,3,1,s
1164,7,1,s
1165,4,1,s
1166,4,1,s
1167,7,0,s
1168,5,0,s
1169,3,0,s
1170,3,0,s
1171,6,0,s
1172,2,1,s
1173,7,1,s
1174,2,0,s
1175,2,0,s
1176,5,1,s
1177,2,1,s
1178,4,1,s
1179,4,1,s
1180,7,0,s
1181,4,1,s
1182,3,1,s
1183,9,0,s
1184,3,1,s
1185,5,1,s
1186,2,0,s
1187,4,0,s
1188,8,0,s
1189,3,0,s
1190,6,1,s
1191,4,1,s
1192,5,0,s
1193,3,0,s
1194,7,1,s
1195,6,1,i
1196,3,1,s
1197,4,1,s
1198,5,0,s
1199,8,1,s
1200,3,0,s
1201,5,0,s
1202,2,1,s
1203,4,0,s
1204,2,1,s
1205,6,1,i
1206,6,1,s
1207,5,1,s
1208,5,0,s
1209,5,1,i
1210,2,1,s
1211,4,0,s
1212,7,0,s
1213,4,1,s
1214,4,0,s
1215,4,0,s
1216,4,1,s
1217,2,0,s
1218,5,0,s
1219,3,0,s
1220,1,0,s
1221,2,0,s
1222,5,0,s
1223,3,0,s
1224,1,1,s
1225,6,0,s
1226,5,1,s
1227,5,1,s
1228,5,1,i
1229,3,1,s
1230,5,1,s
1231,7,1,i
1232,1,0,s
1233,5,1,s
1234,3,1,s
1235,4,0,s
1236,5,1,s
1237,7,0,s
1238,4,1,s
1239,6,0,s
1240,5,0,s
1241,5,1,s
1242,7,0,s
1243,4,0,s
1244,5,1,s
1245,3,0,s
1246,6,0,s
1247,2,1,s
1248,6,1,s
1249,6,1,s
1250,2,0,s
1251,5,0,s
1252,4,1,s
1253,5,1,s
1254,2,1,s
1255,6,1,i
1256,4,0,s
1257,5,0,s
1258,2,1,s
1259,4,1,s
1260,12,0,s
1261,4,1,s
1262,5,1,s
1263,2,0,s
1264,4,1,s
1265,11,0,s
1266,3,1,i
1267,3,0,s
1268,1,0,s
1269,10,1,i
1270,4,1,s
1271,3,1,s
1272,5,0,s
1273,6,0,s
1274,6,0,s
1275,5,0,s
1276,3,1,s
1277,4,0,s
1278,3,0,s
1279,8,0,s
1280,3,0,s
1281,3,0,s
1282,4,0,s
1283,4,0,s
1284,4,0,s
1285,4,0,s
1286,10,1,s
1287,2,1,s
1288,5,0,s
1289,5,1,s
1290,9,1,s
1291,8,0,s
1292,1,1,s
1293,5,1,s
1294,2,1,s
1295,4,1,s
1296,4,1,i
1297,6,0,s
1298,5,0,s
1299,5,1,s
1300,4,1,s
1301,4,1,s
1302,6,0,s
1303,6,0,s
1304,4,0,s
1305,5,0,s
1306,5,0,s
1307,1,1,s
1308,5,1,s
1309,1,1,s
1310,8,0,s
1311,7,1,s
1312,3,1,s
1313,4,1,s
1314,4,0,s
1315,10,0,i
1316,4,0,s
1317,5,1,s
1318,5,0,s
1319,6,1,s
1320,2,0,s
1321,4,1,s
1322,7,0,s
1323,4,1,s
1324,7,1,i
1325,2,0,s
1326,3,1,s
1327,5,1,i
1328,3,1,s
1329,3,1,s
1330,2,1,s
1331,5,1,s
1332,5,1,s
1333,2,1,s
1334,4,1,s
1335,6,1,s
1336,5,1,s
1337,5,0,s
1338,3,1,s
1339,3,0,s
1340,5,0,s
1341,3,0,s
1342,2,1,s
1343,3,1,s
1344,4,1,s
1345,3,1,s
1346,1,1,s
1347,4,1,s
1348,3,0,s
1349,5,1,s
1350,1,0,s
1351,7,1,s
1352,5,0,s
1353,5,0,s
1354,6,1,s
1355,3,1,s
1356,3,0,s
1357,6,1,s
1358,0,1,s
1359,4,1,i
1360,6,0,s
1361,4,1,s
1362,5,0,s
1363,4,1,i
1364,7,1,s
1365,1,0,s
1366,4,1,s
1367,5,0,s
1368,4,1,s
1369,5,1,s
1370,3,0,s
1371,13,1,s
1372,1,0,s
1373,4,0,s
1374,5,1,s
1375,3,1,s
1376,5,0,s
1377,3,1,s
1378,3,0,s
1379,7,1,s
1380,7,1,i
1381,5,0,s
1382,5,1,s
1383,9,1,s
1384,6,1,s
1385,2,0,s
1386,1,1,s
1387,5,0,s
1388,9,0,s
1389,5,1,s
1390,4,1,s
1391,3,1,s
1392,3,0,s
1393,5,1,i
1394,6,1,i
1395,4,0,s
1396,1,0,s
1397,2,0,s
1398,6,0,s
1399,4,1,s
1400,10,1,s
1401,2,0,s
1402,5,0,s
1403,7,1,s
1404,3,1,s
1405,0,1,s
1406,5,1,s
1407,6,1,s
1408,4,1,s
1409,6,1,s
1410,7,1,s
1411,2,1,s
1412,4,1,s
1413,7,0,i
1414,5,0,s
1415,4,1,s
1416,5,1,s
1417,4,1,s
1418,8,1,s
1419,1,1,s
1420,3,1,i
1421,6,0,s
1422,8,1,s
1423,6,1,s
1424,5,0,s
1425,6,1,s
1426,2,1,s
1427,4,1,s
1428,9,1,s
1429,3,0,s
1430,4,1,s
1431,1,1,s
1432,2,0,s
1433,4,0,s
1434,5,1,s
1435,8,0,s
1436,4,0,s
1437,6,1,s
1438,2,1,s
1439,4,0,s
1440,2,1,s
1441,5,1,s
1442,5,0,s
1443,2,1,s
1444,8,0,s
1445,4,1,s
1446,8,1,s
1447,4,1,s
1448,2,1,s
1449,6,0,s
1450,1,0,s
1451,5,0,s
1452,6,0,s
1453,3,1,s
1454,4,1,s
1455,4,0,s
1456,3,1,s
1457,5,0,s
1458,2,1,s
1459,4,1,s
1460,8,1,s
1461,3,1,s
1462,2,0,s
1463,4,1,s
1464,6,0,s
1465,4,1,s
1466,8,1,s
1467,6,0,s
1468,2,1,s
1469,6,0,s
1470,2,1,s
1471,5,1,s
1472,3,0,s
1473,2,1,s
1474,5,1,s
1475,4,1,s
1476,5,1,s
1477,8,1,s
1478,5,1,s
1479,2,1,s
1480,9,1,s
1481,3,1,s
1482,5,1,s
1483,5,1,s
1484,6,1,s
1485,7,1,s
1486,9,1,s
1487,5,1,s
1488,5,0,i
1489,4,1,s
1490,4,1,s
1491,3,0,s
1492,3,1,s
1493,5,0,s
1494,3,1,s
1495,5,1,s
1496,3,0,s
1497,2,1,s
1498,3,1,s
1499,6,0,i
1500,7,0,s
1501,2,0,s
1502,6,0,s
1503,10,1,i
1504,6,1,i
1505,1,1,s
1506,3,0,s
1507,6,0,s
1508,4,1,i
1509,5,0,s
1510,5,1,s
1511,4,1,s
1512,3,1,s
1513,7,0,s
1514,8,1,s
1515,7,0,s
1516,4,0,s
1517,7,1,s
1518,5,1,s
1519,7,0,s
1520,2,1,s
1521,4,1,s
1522,4,1,s
1523,7,1,s
1524,4,1,s
1525,3,0,s
1526,5,0,s
1527,8,0,s
1528,1,1,s
1529,1,1,s
1530,3,1,s
1531,9,0,s
1532,2,0,i
1533,4,0,s
1534,4,0,s
1535,3,1,s
1536,4,0,s
1537,4,0,s
1538,7,0,s
1539,4,0,s
1540,3,1,s
1541,6,1,s
1542,2,1,s
1543,6,0,s
1544,2,0,s
1545,5,0,s
1546,4,0,s
1547,5,1,s
1548,3,0,s
1549,7,0,s
1550,1,1,s
1551,6,1,s
1552,7,0,s
1553,3,1,s
1554,7,1,s
1555,7,0,s
1556,7,0,s
1557,5,0,s
1558,2,1,s
1559,7,0,s
1560,2,1,s
1561,9,0,s
1562,7,0,i
1563,6,0,s
1564,0,0,s
1565,3,1,s
1566,4,1,s
1567,2,0,s
1568,5,1,s
1569,3,0,s
1570,6,1,s
1571,4,0,s
