,sim_i,t,source,target
28066,1,19,2324,425
28067,1,19,2399,426
28068,1,19,494,427
28069,1,19,1735,428
28070,1,19,754,429
28071,1,19,1192,429
28072,1,19,1806,429
28073,1,19,573,430
28074,1,19,2787,430
28075,1,19,860,431
28076,1,19,1816,433
28077,1,19,985,434
28078,1,19,1956,434
28079,1,19,653,437
28080,1,19,2891,437
28081,1,19,1851,439
28082,1,19,2447,440
28083,1,19,691,441
28084,1,19,755,441
28085,1,19,1197,441
28086,1,19,1001,442
28087,1,19,3000,442
28088,1,19,1374,443
28089,1,19,1159,446
28090,1,19,2331,446
28091,1,19,511,447
28092,1,19,1953,447
28093,1,19,1048,449
28094,1,19,578,450
28095,1,19,2414,452
28096,1,19,1048,453
28097,1,19,1101,454
28098,1,19,1267,456
28099,1,19,2560,456
28100,1,19,1369,457
28101,1,19,994,458
28102,1,19,1820,458
28103,1,19,2125,459
28104,1,19,503,460
28105,1,19,561,463
28106,1,19,1400,463
28107,1,19,2131,463
28108,1,19,2594,464
28109,1,19,568,465
28110,1,19,2744,470
28111,1,19,2992,470
28112,1,19,1303,471
28113,1,19,2280,471
28114,1,19,2981,472
28115,1,19,1423,473
28116,1,19,1839,477
28117,1,19,2658,477
28118,1,19,1692,480
28119,1,19,2759,481
28120,1,19,2210,482
28121,1,19,2479,485
28122,1,19,703,486
28123,1,19,1583,486
28124,1,19,2549,486
28125,1,19,1491,487
28126,1,19,653,488
28127,1,19,2334,488
28128,1,19,2117,489
28129,1,19,2304,489
28130,1,19,1543,492
28131,1,19,1782,494
28132,1,19,2018,494
28133,1,19,2913,495
28134,1,19,550,496
28135,1,19,904,496
28136,1,19,1355,496
28137,1,19,2993,496
28138,1,19,1441,497
28139,1,19,1092,498
28140,1,19,2018,498
28141,1,19,2287,498
28142,1,19,523,499
28143,1,19,2896,499
28144,1,19,2923,499
28145,1,19,545,500
28146,1,19,1378,500
28147,1,19,1950,500
28148,1,19,2447,500
28149,1,19,2849,503
28150,1,19,2199,504
28151,1,19,2755,504
28152,1,19,592,505
28153,1,19,1322,506
28154,1,19,2070,507
28155,1,19,1046,508
28156,1,19,1496,508
28157,1,19,1166,511
28158,1,19,1392,511
28159,1,19,1068,513
28160,1,19,876,514
28161,1,19,2006,514
28162,1,19,2297,515
28163,1,19,2436,515
28164,1,19,1089,516
28165,1,19,2642,516
28166,1,19,2774,517
28167,1,19,1228,518
28168,1,19,2567,518
28169,1,19,2672,518
28170,1,19,572,519
28171,1,19,1103,519
28172,1,19,1823,519
28173,1,19,1058,521
28174,1,19,1597,521
28175,1,19,2193,522
28176,1,19,1887,524
28177,1,19,651,525
28178,1,19,1704,525
28179,1,19,2479,525
28180,1,19,2490,526
28181,1,19,1093,527
28182,1,19,646,529
28183,1,19,1593,529
28184,1,19,1806,529
28185,1,19,2033,529
28186,1,19,902,530
28187,1,19,2494,530
28188,1,19,635,531
28189,1,19,2677,533
28190,1,19,903,534
28191,1,19,1560,534
28192,1,19,756,535
28193,1,19,717,537
28194,1,19,1943,537
28195,1,19,1619,538
28196,1,19,1811,538
28197,1,19,2754,540
28198,1,19,2825,543
28199,1,19,1776,544
28200,1,19,1838,546
28201,1,19,824,547
28202,1,19,2126,547
28203,1,19,2732,547
28204,1,19,776,548
28205,1,19,1490,549
28206,1,19,853,550
28207,1,19,567,551
28208,1,19,2927,554
28209,1,19,577,555
28210,1,19,1679,557
28211,1,19,2309,557
28212,1,19,1872,559
28213,1,19,2523,559
28214,1,19,847,560
28215,1,19,1741,561
28216,1,19,746,562
28217,1,19,2293,562
28218,1,19,2671,563
28219,1,19,1737,565
28220,1,19,1191,566
28221,1,19,1170,567
